"Company Name","Primary Contact","Phone Number","Customer Address","Credit Limit","15% Incentive","New Credit Limit"
"Daedalus Designs Imports","Martine  Rancé",20.16.1555,NULL,"$82,900.00","$12,435.00","$95,335.00"
"La Corne D'abondance, Co.","Marie Bertrand","(1) 42.34.2555",NULL,"$84,300.00","$12,645.00","$96,945.00"
"Cambridge Collectables Co.","Jerry Tseng",6175555555,"4658 Baden Av., Cambridge, MA 51247","$43,400.00","$6,510.00","$49,910.00"
"Gift Depot Inc.","Julie King",2035552570,"25593 South Bay Ln., Bridgewater, CT 97562","$84,300.00","$12,645.00","$96,945.00"
"Osaka Souveniers Co.","Mory Kentary","+81 06 6342 5555","1-6-20 Dojima, Kita-ku, Osaka  530-0003","$81,200.00","$12,180.00","$93,380.00"
"Vitachrome Inc.","Michael Frick",2125551500,"2678 Kingston Rd., NYC, NY 10022","$76,400.00","$11,460.00","$87,860.00"
"Toys of Finland, Co.","Matti Karttunen","90-224 8555",NULL,"$96,500.00","$14,475.00","$110,975.00"
"AV Stores, Co.","Rachel Ashworth","(171) 555-1555",NULL,"$136,800.00","$20,520.00","$157,320.00"
"Clover Collections, Co.","Dean Cassidy","+353 1862 1555",NULL,"$69,400.00","$10,410.00","$79,810.00"
"Auto-Moto Classics Inc.","Leslie Taylor",6175558428,"16780 Pompton St., Brickhaven, MA 58339","$23,000.00","$3,450.00","$26,450.00"
"UK Collectables, Ltd.","Elizabeth Devon","(171) 555-2282",NULL,"$92,700.00","$13,905.00","$106,605.00"
"Canadian Gift Exchange Network","Yoshi  Tamuri","(604) 555-3392","1900 Oak St., Vancouver, BC V3F 2K1","$90,300.00","$13,545.00","$103,845.00"
"Online Mini Collectables","Miguel Barajas",6175557555,"7635 Spinnaker Dr., Brickhaven, MA 58339","$68,700.00","$10,305.00","$79,005.00"
Toys4GrownUps.com,"Julie Young",6265557265,"78934 Hillside Dr., Pasadena, CA 90003","$90,700.00","$13,605.00","$104,305.00"
"Asian Shopping Network, Co","Brydey Walker","+612 9411 1555",NULL,$0.00,$0.00,$0.00
"Mini Caravy","Frédérique  Citeaux",88.60.1555,NULL,"$53,800.00","$8,070.00","$61,870.00"
"King Kong Collectables, Co.","Mike Gao","+852 2251 1555",NULL,"$58,600.00","$8,790.00","$67,390.00"
"Enaco Distributors","Eduardo  Saavedra","(93) 203 4555",NULL,"$60,300.00","$9,045.00","$69,345.00"
"Boards & Toys Co.","Mary Young",3105552373,"4097 Douglas Av., Glendale, CA 92561","$11,000.00","$1,650.00","$12,650.00"
"Natürlich Autos","Horst  Kloss",0372-555188,NULL,$0.00,$0.00,$0.00
"Heintze Collectables","Palle Ibsen","86 21 3555",NULL,"$120,800.00","$18,120.00","$138,920.00"
"Québec Home Shopping Network","Jean  Fresnière","(514) 555-8054","43 rue St. Laurent, Montréal, Québec H1J 1C3","$48,700.00","$7,305.00","$56,005.00"
"ANG Resellers","Alejandra  Camino","(91) 745 6555",NULL,$0.00,$0.00,$0.00
"Collectable Mini Designs Co.","Valarie Thompson",7605558146,"361 Furth Circle, San Diego, CA 91217","$105,000.00","$15,750.00","$120,750.00"
giftsbymail.co.uk,"Helen  Bennett","(198) 555-8888","Garden House, Cowes, Isle of Wight PO31 7PJ","$93,900.00","$14,085.00","$107,985.00"
"Alpha Cognac","Annette  Roulet",61.77.6555,NULL,"$61,100.00","$9,165.00","$70,265.00"
"Messner Shopping Network","Renate  Messner",069-0555984,NULL,$0.00,$0.00,$0.00
"Amica Models & Co.","Paolo  Accorti",011-4988555,NULL,"$113,000.00","$16,950.00","$129,950.00"
"Lyon Souveniers","Daniel Da Silva","+33 1 46 62 7555",NULL,"$68,100.00","$10,215.00","$78,315.00"
"Auto Associés & Cie.","Daniel  Tonini",30.59.8555,NULL,"$77,900.00","$11,685.00","$89,585.00"
"Toms Spezialitäten, Ltd","Henriette  Pfalzheim",0221-5554327,NULL,"$120,400.00","$18,060.00","$138,460.00"
"Royal Canadian Collectables, Ltd.","Elizabeth  Lincoln","(604) 555-4555","23 Tsawassen Blvd., Tsawassen, BC T2F 8M4","$89,600.00","$13,440.00","$103,040.00"
"Franken Gifts, Co","Peter  Franken",089-0877555,NULL,$0.00,$0.00,$0.00
"Anna's Decorations, Ltd","Anna O'Hara","02 9936 8555","201 Miller Street, North Sydney, NSW 2060","$107,800.00","$16,170.00","$123,970.00"
"Rovelli Gifts","Giovanni  Rovelli",035-640555,NULL,"$119,600.00","$17,940.00","$137,540.00"
"Souveniers And Things Co.","Adrian Huxley","+61 2 9495 8555","Monitor Money Building, Chatswood, NSW 2067","$93,300.00","$13,995.00","$107,295.00"
"Marta's Replicas Co.","Marta Hernandez",6175558555,"39323 Spinnaker Dr., Cambridge, MA 51247","$123,700.00","$18,555.00","$142,255.00"
"BG&E Collectables","Ed Harrison","+41 26 425 50 01",NULL,$0.00,$0.00,$0.00
"Vida Sport, Ltd","Mihael Holz",0897-034555,NULL,"$141,300.00","$21,195.00","$162,495.00"
"Norway Gifts By Mail, Co.","Jan Klaeboe","+47 2212 1555",NULL,"$95,100.00","$14,265.00","$109,365.00"
"Schuyler Imports","Bradley Schuyler","+31 20 491 9555",NULL,$0.00,$0.00,$0.00
"Der Hund Imports","Mel Andersen",030-0074555,NULL,$0.00,$0.00,$0.00
"Oulu Toy Supplies, Inc.","Pirkko Koskitalo",981-443655,NULL,"$90,500.00","$13,575.00","$104,075.00"
"Petit Auto","Catherine  Dewey","(02) 5554 67",NULL,"$79,900.00","$11,985.00","$91,885.00"
"Mini Classics","Steve Frick",9145554562,"3758 North Pendale Street, White Plains, NY 24067","$102,700.00","$15,405.00","$118,105.00"
"Mini Creations Ltd.","Wing Huang",5085559555,"4575 Hillside Dr., New Bedford, MA 50553","$94,500.00","$14,175.00","$108,675.00"
"Corporate Gift Ideas Co.","Julie Brown",6505551386,"7734 Strong St., San Francisco, CA 94217","$105,000.00","$15,750.00","$120,750.00"
"Down Under Souveniers, Inc","Mike Graham","+64 9 312 5555",NULL,"$88,000.00","$13,200.00","$101,200.00"
"Stylish Desk Decors, Co.","Ann  Brown","(171) 555-0297",NULL,"$77,000.00","$11,550.00","$88,550.00"
"Tekni Collectables Inc.","William Brown",2015559350,"7476 Moss Rd., Newark, NJ 94019","$43,000.00","$6,450.00","$49,450.00"
"Australian Gift Network, Co","Ben Calaghan",61-7-3844-6555,"31 Duncan St. West End, South Brisbane, Queensland 4101","$51,600.00","$7,740.00","$59,340.00"
"Suominen Souveniers","Kalle Suominen","+358 9 8045 555",NULL,"$98,800.00","$14,820.00","$113,620.00"
"Cramer Spezialitäten, Ltd","Philip  Cramer",0555-09555,NULL,$0.00,$0.00,$0.00
"Classic Gift Ideas, Inc","Francisca Cervantes",2155554695,"782 First Street, Philadelphia, PA 71270","$81,100.00","$12,165.00","$93,265.00"
"CAF Imports","Jesus Fernandez","+34 913 728 555",NULL,"$59,600.00","$8,940.00","$68,540.00"
"Men 'R' US Retailers, Ltd.","Brian Chandler",2155554369,"6047 Douglas Av., Los Angeles, CA 91003","$57,700.00","$8,655.00","$66,355.00"
"Asian Treasures, Inc.","Patricia  McKenna","2967 555",NULL,$0.00,$0.00,$0.00
"Marseille Mini Autos","Laurence  Lebihan",91.24.4555,NULL,"$65,000.00","$9,750.00","$74,750.00"
"Reims Collectables","Paul  Henriot",26.47.1555,NULL,"$81,100.00","$12,165.00","$93,265.00"
"SAR Distributors, Co","Armand Kuger","+27 21 550 3555","1250 Pretorius Street, Hatfield, Pretoria 0028",$0.00,$0.00,$0.00
GiftsForHim.com,"Wales MacKinlay",64-9-3763555,NULL,"$77,700.00","$11,655.00","$89,355.00"
"Kommission Auto","Karin Josephs",0251-555259,NULL,$0.00,$0.00,$0.00
Gifts4AllAges.com,"Juri Yoshido",6175559555,"8616 Spinnaker Dr., Boston, MA 51003","$41,900.00","$6,285.00","$48,185.00"
"Online Diecast Creations Co.","Dorothy Young",6035558647,"2304 Long Airport Avenue, Nashua, NH 62005","$114,200.00","$17,130.00","$131,330.00"
"Lisboa Souveniers, Inc","Lino  Rodriguez","(1) 354-2555",NULL,$0.00,$0.00,$0.00
"Precious Collectables","Braun Urs",0452-076555,NULL,$0.00,$0.00,$0.00
"Collectables For Less Inc.","Allen Nelson",6175558555,"7825 Douglas Av., Brickhaven, MA 58339","$70,700.00","$10,605.00","$81,305.00"
"Royale Belge","Pascale  Cartrain","(071) 23 67 2555",NULL,"$23,500.00","$3,525.00","$27,025.00"
"Salzburg Collectables","Georg  Pipps",6562-9555,NULL,"$71,700.00","$10,755.00","$82,455.00"
"Cruz & Sons Co.","Arnold Cruz","+63 2 555 3587",NULL,"$81,500.00","$12,225.00","$93,725.00"
"L'ordine Souveniers","Maurizio  Moroni",0522-556555,NULL,"$121,400.00","$18,210.00","$139,610.00"
"Tokyo Collectables, Ltd","Akiko Shimamura","+81 3 3584 0555","2-2-8 Roppongi, Minato-ku, Tokyo 106-0032","$94,400.00","$14,160.00","$108,560.00"
"Auto Canal+ Petit","Dominique Perrier","(1) 47.55.6555",NULL,"$95,000.00","$14,250.00","$109,250.00"
"Stuttgart Collectable Exchange","Rita  Müller",0711-555361,NULL,$0.00,$0.00,$0.00
"Extreme Desk Decorations, Ltd","Sarah McRoy","04 499 9555",NULL,"$86,800.00","$13,020.00","$99,820.00"
"Bavarian Collectables Imports, Co.","Michael Donnermeyer"," +49 89 61 08 9555",NULL,"$77,000.00","$11,550.00","$88,550.00"
"Classic Legends Inc.","Maria Hernandez",2125558493,"5905 Pompton St., NYC, NY 10022","$67,500.00","$10,125.00","$77,625.00"
"Feuer Online Stores, Inc","Alexander  Feuer",0342-555176,NULL,$0.00,$0.00,$0.00
"Gift Ideas Corp.","Dan Lewis",2035554407,"2440 Pompton St., Glendale, CT 97561","$49,700.00","$7,455.00","$57,155.00"
"Scandinavian Gift Ideas","Martha Larsson","0695-34 6555",NULL,"$116,400.00","$17,460.00","$133,860.00"
"The Sharp Gifts Warehouse","Sue Frick",4085553659,"3086 Ingle Ln., San Jose, CA 94217","$77,600.00","$11,640.00","$89,240.00"
"Mini Auto Werke","Roland  Mendel",7675-3555,NULL,"$45,300.00","$6,795.00","$52,095.00"
"Super Scale Inc.","Leslie Murphy",2035559545,"567 North Pendale Street, New Haven, CT 97823","$95,400.00","$14,310.00","$109,710.00"
"Microscale Inc.","Yu Choi",2125551957,"5290 North Pendale Street, NYC, NY 10022","$39,800.00","$5,970.00","$45,770.00"
"Corrida Auto Replicas, Ltd","Martín  Sommer","(91) 555 22 82",NULL,"$104,600.00","$15,690.00","$120,290.00"
"Warburg Exchange","Sven  Ottlieb",0241-039123,NULL,$0.00,$0.00,$0.00
FunGiftIdeas.com,"Violeta Benitez",5085552555,"1785 First Street, New Bedford, MA 50553","$85,800.00","$12,870.00","$98,670.00"
"Anton Designs, Ltd.","Carmen Anton","+34 913 728555",NULL,$0.00,$0.00,$0.00
"Australian Collectables, Ltd","Sean Clenahan",61-9-3844-6555,"7 Allen Street, Glen Waverly, Victoria 3150","$60,300.00","$9,045.00","$69,345.00"
"Frau da Collezione","Franco Ricotti","+39 022515555",NULL,"$34,800.00","$5,220.00","$40,020.00"
"West Coast Collectables Co.","Steve Thompson",3105553722,"3675 Furth Circle, Burbank, CA 94019","$55,400.00","$8,310.00","$63,710.00"
"Mit Vergnügen & Co.","Hanna  Moos",0621-08555,NULL,$0.00,$0.00,$0.00
"Kremlin Collectables, Co.","Alexander  Semenov","+7 812 293 0521",NULL,$0.00,$0.00,$0.00
"Raanan Stores, Inc","Raanan Altagar,G M","+ 972 9 959 8555",NULL,$0.00,$0.00,$0.00
"Iberia Gift Imports, Corp.","José Pedro  Roel","(95) 555 82 82",NULL,"$65,700.00","$9,855.00","$75,555.00"
"Motor Mint Distributors Inc.","Rosa Salazar",2155559857,"11328 Douglas Av., Philadelphia, PA 71270","$72,600.00","$10,890.00","$83,490.00"
"Signal Collectibles Ltd.","Sue Taylor",4155554312,"2793 Furth Circle, Brisbane, CA 94217","$60,300.00","$9,045.00","$69,345.00"
"Double Decker Gift Stores, Ltd","Thomas  Smith","(171) 555-7555",NULL,"$43,300.00","$6,495.00","$49,795.00"
"Diecast Collectables","Valarie Franco",6175552555,"6251 Ingle Ln., Boston, MA 51003","$85,100.00","$12,765.00","$97,865.00"
"Kelly's Gift Shop","Tony Snowden","+64 9 5555500",NULL,"$110,000.00","$16,500.00","$126,500.00"
